 제목 약어 TITLE SHORT CUT
 창세기  창  Genesis  GEN
 출애굽기    출  Exodus   EXO
 레위기  레  Leviticus   LEV
 민수기  민  Numbers  NUM
 신명기  신  Deuteronomy DEU
 여호수아    수  Joshua   JOS
 사사기  삿  Judges   JDG
 룻기   룻  Ruth  RTH
 사무엘상    삼상 1Samuel  SA1
 사무엘하    삼하 2Samuel  SA2
 열왕기상    왕상 1Kings   KI1
 열왕기하    왕하 2Kings   KI2
 역대상  대상 1Chronicles CH1
 역대하  대하 2Chronicles CH2
 에스라  스  Ezra  EZR
 느헤미야    느  Nehemiah NEH
 에스더  에  Esther   EST
 욥기   욥  Job   JOB
 시편   시  Psalms   PSA
 잠언   잠  Proverbs PRO
 전도서  전  Ecclesiastes   ECC
 아가   아  SongofSongs SON
 이사야  사  Isaiah   ISA
 예레미야    렘  Jeremiah JER
 예레미야 애가    애  Lamentations   LAM
 에스겔  겔  Ezekiel  EZE
 다니엘  단  Daniel   DAN
 호세아  호  Hosea HOS
 요엘   욜  Joel  JOE
 아모스  암  Amos  AMO
 오바댜  옵  Obadiah  OBA
 요나   욘  Jonah JON
 미가   미  Micah MIC
 나훔   나  Nahum NAH
 하박국  합  Habakkuk HAB
 스바냐  습  Zephaniah   ZEP
 학개   학  Haggai   HAG
 스가랴  슥  Zechariah   ZEC
 말라기  말  Malachi  MAL
 마태복음   마  Matthew  MAT
 마가복음    막  Mark  MAR
 누가복음    눅  Luke  LUK
 요한복음    요  John  JOH
 사도행전    행  Acts  ACT
 로마서  롬  Romans   ROM
 고린도전서   고전 1Corinthians   CO1
 고린도후서   고후 2Corinthians   CO2
 갈라디아서   갈  Galatians   GAL
 에베소서    엡  Ephesians   EPH
 빌립보서    빌  Philippians PHI
 골로새서    골  Colossians  COL
 데살로니가전서    살전 1Thessalonians TH1
 데살로니가후서    살후 2Thessalonians TH2
 디모데전서   전  1Timothy TI1
 디모데후서   후  2Timothy TI2
 디도서  딛  Titus TIT
 빌레몬서    몬  Philemon PHM
 히브리서    히  Hebrews  HEB
 야고보서    약  James JAM
 베드로전서   벧전 1Peter   PE1
 베드로후서   벧후 2Peter   PE2
 요한1서    요일 1John JO1
 요한2서    요이 2John JO2
 요한3서    요삼 3John JO3
 유다서  유  Jude  JUD
 요한계시록   계  Revelation  REV
